date,mse
1555459200.0,3.7321034701085874e-05
1555460100.0,2.2182614223939565e-05
1555461000.0,2.4499238077126227e-05
1555461900.0,1.6863119096890093e-05
1555462800.0,4.031896916617869e-05
1555463700.0,1.0970885867223527e-05
1555464600.0,3.0379155533268825e-05
1555465500.0,5.0612299963427154e-05
1555466400.0,1.6052273410793207e-05
1555467300.0,3.1476812959766035e-05
1555468200.0,2.643514323171665e-05
1555469100.0,6.473879777420948e-05
1555470000.0,3.223427052917345e-05
1555470900.0,4.674162960323338e-05
1555471800.0,2.9911959761532627e-05
1555472700.0,3.9711485187601426e-05
1555473600.0,3.842965519240495e-05
1555474500.0,4.3470015301907794e-05
1555475400.0,3.476189428023523e-05
1555476300.0,6.103714504556126e-05
1555477200.0,3.997762597819006e-05
1555478100.0,3.246011690864941e-05
1555479000.0,4.466732418136853e-05
1555479900.0,3.966182185004693e-05
1555480800.0,4.773887189000761e-05
1555481700.0,2.9880359717533506e-05
1555482600.0,4.7393581743182636e-05
1555483500.0,3.3943470707227106e-05
1555484400.0,3.5245983269254306e-05
1555485300.0,3.0184178576431933e-05
1555486200.0,4.917680284902186e-05
1555487100.0,3.711909255628755e-05
1555488000.0,3.7927739543017406e-05
1555488900.0,3.878168836883863e-05
1555489800.0,3.587683469640881e-05
1555490700.0,2.9029691373455078e-05
1555491600.0,5.648232603942404e-05
1555492500.0,3.875103321118073e-05
1555493400.0,5.553310798858245e-05
1555494300.0,4.815487840019946e-05
1555495200.0,3.9995305515069324e-05
1555496100.0,4.027308403581604e-05
1555497000.0,5.4613781707082325e-05
1555497900.0,3.446917212562505e-05
1555498800.0,3.7943352677968514e-05
1555499700.0,5.4549146713060594e-05
1555500600.0,3.836381460914898e-05
1555501500.0,3.9162742968727314e-05
1555502400.0,3.6414809384285804e-05
1555503300.0,3.0402060956953303e-05
1555504200.0,3.7819877030690454e-05
1555505100.0,2.5588333302439406e-05
1555506000.0,3.4828334881715456e-05
1555506900.0,2.525553529013628e-05
1555507800.0,4.3741167698804875e-05
1555508700.0,2.8325043812404063e-05
1555509600.0,4.481872753944878e-05
1555510500.0,3.6681859975182154e-05
1555511400.0,2.745771532254357e-05
1555512300.0,3.524193192633521e-05
1555513200.0,3.2810269162697724e-05
1555514100.0,3.338515169201361e-05
1555515000.0,4.1484550127191723e-05
1555515900.0,3.128498531864349e-05
1555516800.0,2.3067516383269906e-05
1555517700.0,2.9488920651215592e-05
1555518600.0,2.3968779802489185e-05
1555519500.0,3.701996502373867e-05
1555520400.0,3.2598311021412796e-05
1555521300.0,2.9123955856627443e-05
1555522200.0,2.487027184177837e-05
1555523100.0,3.0315496064644562e-05
1555524000.0,3.368634850673681e-05
1555524900.0,2.7550152962910827e-05
1555525800.0,1.672715289532615e-05
1555526700.0,3.450072919819822e-05
1555527600.0,2.0790194042338965e-05
1555528500.0,2.6862204110935942e-05
1555529400.0,3.332703187515626e-05
1555530300.0,3.0014104946344086e-05
1555531200.0,3.2981239925603034e-05
1555532100.0,3.539598068217788e-05
1555533000.0,2.3772670246468852e-05
1555533900.0,3.431266598064428e-05
1555534800.0,3.76764009758618e-05
1555535700.0,2.888270540949475e-05
1555536600.0,2.400404549355467e-05
1555537500.0,3.804089378610506e-05
1555546500.0,2.6277589888919225e-05
1555547400.0,2.3800407284764836e-05
1555548300.0,5.047642487113182e-05
1555549200.0,2.4515177161222817e-05
1555550100.0,1.2137039555595306e-05
1555551000.0,1.726325480688753e-05
1555551900.0,3.177537008718496e-05
1555552800.0,5.678884490174407e-05
1555553700.0,3.194718328684764e-05
1555554600.0,2.5565239546385088e-05
1555555500.0,3.0903644881855224e-05
1555556400.0,4.9610571663728475e-05
1555557300.0,2.5680806172358096e-05
1555558200.0,3.521074094735117e-05
1555559100.0,4.881318018801412e-05
1555560000.0,5.0007485035862824e-05
1555560900.0,4.528644380028453e-05
1555561800.0,5.0341175018138624e-05
1555562700.0,3.96153871918648e-05
1555563600.0,4.4177093821735605e-05
1555564500.0,4.732327517064849e-05
1555565400.0,4.138516167331037e-05
1555566300.0,4.2847326143318784e-05
1555567200.0,4.154716652185341e-05
1555568100.0,4.731056896483915e-05
1555569000.0,3.376656250285835e-05
1555569900.0,3.422372606230728e-05
1555570800.0,2.7115165253627585e-05
1555571700.0,5.055585951188349e-05
1555572600.0,3.775884326696708e-05
1555573500.0,5.819031693563006e-05
1555574400.0,4.549219370683021e-05
1555575300.0,6.065107023933034e-05
1555576200.0,6.156073087002554e-05
1555577100.0,2.631495023944613e-05
1555578000.0,5.0250203919156654e-05
1555578900.0,4.4595161096456774e-05
1555579800.0,2.9231779062374862e-05
1555580700.0,3.3798644863431714e-05
1555581600.0,3.341083703353816e-05
1555582500.0,3.5401241792448404e-05
1555583400.0,3.658841552520079e-05
1555584300.0,4.3268925667389263e-05
1555585200.0,4.805721715431156e-05
1555586100.0,5.8199815485285876e-05
1555587000.0,3.5900075746566224e-05
1555587900.0,3.905073647720296e-05
1555588800.0,4.360211022310552e-05
1555589700.0,3.3413787475802116e-05
1555590600.0,3.132003401268846e-05
1555591500.0,3.261915375210375e-05
1555592400.0,4.580677680717703e-05
1555593300.0,4.756472802854258e-05
1555594200.0,4.544702009681217e-05
1555595100.0,3.5884988388765477e-05
1555596000.0,3.676771938733964e-05
1555596900.0,4.556643722254492e-05
1555597800.0,4.700690611640376e-05
1555598700.0,6.189830077719427e-05
1555599600.0,4.992624758552978e-05
1555600500.0,6.135778248623472e-05
1555601400.0,3.8913904072706995e-05
1555602300.0,6.306400742447582e-05
1555603200.0,4.2163212177681596e-05
1555604100.0,4.976068016770926e-05
1555605000.0,4.052058699536274e-05
1555605900.0,6.310069960306372e-05
1555606800.0,4.067407373341917e-05
1555607700.0,3.3755335817522984e-05
1555608600.0,3.677768326904981e-05
1555609500.0,4.0906381654499824e-05
1555610400.0,5.1266894123678925e-05
1555611300.0,5.785747692410999e-05
1555612200.0,3.950680279105231e-05
1555613100.0,5.928668554915775e-05
1555614000.0,5.0972629150054915e-05
1555614900.0,8.676280021319561e-05
1555615800.0,3.18928844236584e-05
1555616700.0,4.111096193108951e-05
1555617600.0,4.081996882694492e-05
1555618500.0,1.9970032680841272e-05
1555619400.0,1.9929858184500173e-05
1555620300.0,2.6092719243680636e-05
1555621200.0,2.2477374966026817e-05
1555622100.0,2.911490015786904e-05
1555623000.0,2.063680202086723e-05
1555623900.0,3.783989585948544e-05
1555632900.0,1.1308464131925588e-05
1555633800.0,2.024216796504521e-05
1555634700.0,2.088877633406289e-05
1555635600.0,8.11888363923304e-05
1555636500.0,3.693268428452446e-05
1555637400.0,1.7679322686704524e-05
1555638300.0,3.984318352925408e-05
1555639200.0,2.4252207330377107e-05
1555640100.0,3.8407731430020365e-05
1555641000.0,2.424615475706855e-05
1555641900.0,5.057206268654528e-05
1555642800.0,4.0313319926757726e-05
1555643700.0,3.917114419591096e-05
1555644600.0,4.158217309340465e-05
1555645500.0,3.765280825048502e-05
1555646400.0,2.9625877282982643e-05
1555647300.0,3.988443267612164e-05
1555648200.0,7.128563003471897e-05
1555649100.0,3.9305898634019937e-05
1555650000.0,4.3421906436314784e-05
1555650900.0,4.010774435204386e-05
1555651800.0,3.7624593387881296e-05
1555652700.0,5.836772588565123e-05
1555653600.0,3.8492458990247194e-05
1555654500.0,4.5078301981121815e-05
1555655400.0,5.0174937001539805e-05
1555656300.0,4.531982164078586e-05
1555657200.0,4.507406370622476e-05
1555658100.0,5.1797318467053414e-05
1555659000.0,4.1111864643789414e-05
1555659900.0,3.109118074445937e-05
1555660800.0,2.3644477752720783e-05
1555661700.0,5.842574750174901e-05
1555662600.0,3.368479363288601e-05
1555663500.0,4.377730217812119e-05
1555664400.0,5.3059293037292614e-05
1555665300.0,4.964508120883036e-05
1555666200.0,3.1859901414625256e-05
1555667100.0,6.438846912440198e-05
1555668000.0,6.084042067893185e-05
1555668900.0,5.712792194503575e-05
1555669800.0,4.633152532784329e-05
1555670700.0,4.001776470296561e-05
1555671600.0,0.001005578547677582
1555672500.0,2.8697528642996938e-05
1555673400.0,4.35523275967959e-05
1555674300.0,3.914334730330297e-05
1555675200.0,3.650428295612891e-05
1555676100.0,4.26083553594344e-05
1555677000.0,1.7879090507924322e-05
1555677900.0,5.018332693098757e-05
1555678800.0,2.8404784811801627e-05
1555679700.0,2.4238113160365336e-05
1555680600.0,3.342379195789519e-05
1555681500.0,4.490101159387412e-05
1555682400.0,2.5284903834398435e-05
1555683300.0,1.862716648665465e-05
1555684200.0,6.87088192463996e-05
1555685100.0,1.896074434967893e-05
1555686000.0,3.436943828297942e-05
1555686900.0,2.8999179148297462e-05
1555687800.0,2.5816587357293002e-05
1555688700.0,1.813346881383252e-05
1555689600.0,1.4782785983594112e-05
1555690500.0,3.58867963467259e-05
1555691400.0,1.9241644648855572e-05
1555692300.0,1.2958398718028056e-05
1555693200.0,1.442273378189733e-05
1555694100.0,2.1359843289714175e-05
1555695000.0,2.9521678226978218e-05
1555695900.0,6.891435233417268e-06
1555696800.0,1.6394310347935982e-05
1555698600.0,3.819107434471234e-05
1555699500.0,1.6482037225780908e-05
1555700400.0,1.3842463149960318e-05
1555701300.0,1.6427836907428e-05
1555702200.0,2.0934860298137453e-05
1555703100.0,1.0330207498368015e-05
1555704000.0,2.478847707324967e-05
1555704900.0,1.4722371657406406e-05
1555705800.0,1.9026713614589818e-05
1555706700.0,3.1017598493656826e-05
1555707600.0,2.9873810517525404e-05
1555708500.0,3.367761032780305e-05
1555709400.0,2.4701902827705756e-05
1555710300.0,3.095373144366528e-05
1555719300.0,2.411681283735814e-05
1555720200.0,3.514679282484006e-05
1555721100.0,2.1948030816723177e-05
1555722000.0,4.5502471182082025e-05
1555722900.0,2.2458817809197716e-05
1555723800.0,2.047502494635637e-05
1555724700.0,2.7270523141352078e-05
1555725600.0,3.214718904472317e-05
1555726500.0,3.560995851756384e-05
1555727400.0,2.462569604152378e-05
1555728300.0,3.408820036157175e-05
1555729200.0,2.560934465119136e-05
1555730100.0,2.5211546375793817e-05
1555731000.0,2.8838781318644102e-05
1555731900.0,3.679610229862218e-05
1555732800.0,4.653088423151839e-05
1555733700.0,4.559393204111932e-05
1555734600.0,3.758500274906334e-05
1555735500.0,2.7396734749350998e-05
1555736400.0,3.866965986651357e-05
1555737300.0,3.3839786080603834e-05
1555738200.0,2.6756365479661755e-05
1555739100.0,3.7878376994886676e-05
1555740000.0,3.252114232463564e-05
1555740900.0,2.4464768740579445e-05
1555741800.0,3.384974022693341e-05
1555742700.0,2.9001361578604486e-05
1555743600.0,2.235044745145897e-05
1555744500.0,4.5619808277556e-05
1555745400.0,1.295972381098152e-05
1555746300.0,7.647406226609652e-05
1555747200.0,2.758588155871437e-05
1555748100.0,4.903280947905109e-06
1555749000.0,9.405128416259875e-06
1555749900.0,8.044004495450452e-06
1555750800.0,4.884023423586659e-06
1555751700.0,9.417546853020417e-06
1555752600.0,2.235202003393501e-05
1555753500.0,2.309229626287719e-05
1555754400.0,1.3271000804522788e-05
1555755300.0,3.2843041748328106e-05
1555756200.0,7.065758560176728e-05
1555757100.0,7.748945402120323e-05
1555758000.0,5.866936843965812e-06
1555758900.0,1.0938093106691794e-05
1555759800.0,2.253290877101555e-05
1555760700.0,2.5475228090968404e-05
1555761600.0,1.639649741899062e-05
1555762500.0,1.896463617807279e-05
1555763400.0,1.2985511594232982e-05
1555764300.0,2.001399264607184e-05
1555766100.0,3.37899388098909e-05
1555767000.0,2.1539754379853613e-05
1555767900.0,6.3799089502725474e-06
1555768800.0,5.049626335983178e-05
1555769700.0,3.360994010169752e-05
1555770600.0,9.316426984510461e-06
1555771500.0,2.0042292839213984e-05
1555772400.0,5.4461900680804555e-05
1555773300.0,1.326948395532582e-05
1555774200.0,1.5156706849780448e-05
1555775100.0,2.4508906862758885e-05
1555776000.0,6.54014403071003e-05
1555776900.0,1.799728016505312e-05
1555777800.0,1.5719674586866547e-05
1555778700.0,4.10861790801241e-05
1555779600.0,1.2027387426297393e-05
1555780500.0,2.911482789210309e-05
1555781400.0,4.911836873145946e-05
1555782300.0,4.8170679517080504e-05
1555783200.0,3.2658714947176424e-05
1555784100.0,3.142554772434524e-05
1555785000.0,1.9691224505668195e-05
1555785900.0,1.3847327033747432e-05
1555786800.0,0.00019030257058026337
1555787700.0,3.4068062678396476e-05
1555788600.0,3.535694411990953e-05
1555789500.0,2.002553224693894e-05
1555790400.0,2.2759259473397836e-05
1555792200.0,3.550541704856819e-05
1555793100.0,5.111087387719746e-05
1555794000.0,1.7436100118913933e-05
1555794900.0,1.6097522728116392e-05
1555796700.0,1.8367553099451305e-05
1555804800.0,3.104807483530083e-05
1555805700.0,4.4984753185944625e-05
1555809300.0,3.032573722138189e-05
1555812000.0,1.4961609656065741e-05
1555813800.0,3.591926150267938e-05
1555815600.0,0.01056177325613697
1555816500.0,7.879022463690305e-06
1555821900.0,9.412210591350848e-06
1555822800.0,6.399268390095067e-06
1555825500.0,5.988733027581884e-06
1555826400.0,2.5451718769895952e-05
1555827300.0,6.15897294243574e-05
1555828200.0,9.851907605700315e-06
1555830000.0,1.7752566119036915e-05
1555830900.0,0.006248464899003936
1555831800.0,4.806249987736255e-05
1555832700.0,1.1707546993243648e-05
1555833600.0,0.005219437248489178
1555834500.0,3.379158767365308e-05
1555835400.0,2.877051127789778e-05
1555836300.0,5.881692664900581e-05
1555837200.0,1.040812385755654e-05
1555839000.0,4.897923403723843e-05
1555842600.0,2.106028280696413e-05
1555843500.0,2.4626821800749255e-05
1555844400.0,6.040304497152728e-05
1555845300.0,8.600543925980981e-06
1555846200.0,2.2374595021620076e-05
1555849800.0,4.93252331218978e-05
1555850700.0,5.2920326554394834e-05
1555851600.0,4.6064884681333824e-05
1555854300.0,6.144700362023004e-06
1555855200.0,3.540831841427432e-05
1555856100.0,1.5552240828953543e-05
1555857000.0,3.851888209152589e-05
1555858800.0,1.5584348124464784e-05
1555859700.0,3.08475309570805e-05
1555860600.0,3.2609442697660755e-05
1555862400.0,1.0771961320291888e-05
1555863300.0,2.1805677171748243e-05
1555864200.0,1.3582802961971881e-05
1555865100.0,4.087246965867191e-05
1555866900.0,4.4564816390725444e-05
1555867800.0,2.7620842188060135e-05
1555868700.0,3.588343199291349e-05
1555869600.0,1.0299008439145532e-05
1555870500.0,2.103255059602265e-05
1555871400.0,1.1715285549019817e-05
1555872300.0,1.8262069965878383e-05
1555873200.0,7.05846711742288e-06
1555874100.0,1.0573568916112481e-05
1555875000.0,9.61984669094609e-06
1555875900.0,3.54207901970681e-05
1555878600.0,1.8594182132843595e-05
1555879500.0,3.077357987203296e-05
1555880400.0,3.530237306659676e-06
1555881300.0,3.1701404294210476e-05
1555882200.0,2.8250000237400437e-05
1555891200.0,3.7328511021710874e-05
1555892100.0,1.1725785172002315e-05
1555893000.0,1.7110747334850875e-05
1555893900.0,6.245954261955101e-05
1555894800.0,0.00010237161308483664
1555895700.0,6.755955969209597e-05
1555896600.0,3.201429853387186e-05
1555897500.0,2.195052654894397e-05
1555899300.0,3.5183856890703594e-05
1555900200.0,2.456821483757016e-05
1555902000.0,0.004204632063244008
1555903800.0,2.657877997380577e-05
1555905600.0,4.201531839808645e-05
1555908300.0,1.220453552236773e-05
1555909200.0,6.684345342457955e-05
1555910100.0,1.3172007151349115e-05
1555911000.0,1.5925723399879554e-05
1555911900.0,1.663445497634177e-05
1555912800.0,4.771382612647625e-05
1555913700.0,0.001531899214841565
1555914600.0,1.46846787694596e-05
1555915500.0,8.281817774555774e-06
1555916400.0,7.70489334360187e-06
1555917300.0,2.225111552040441e-05
1555918200.0,6.971345395130746e-06
1555919100.0,2.868938718011282e-05
1555920000.0,3.484556850225634e-05
1555920900.0,1.20751577181454e-05
1555921800.0,1.3800258606053304e-05
1555922700.0,1.5705745436109384e-05
1555923600.0,8.600191533648866e-06
1555924500.0,8.965754267395676e-05
1555926300.0,7.192112575134191e-05
1555927200.0,3.875921371248037e-06
1555929000.0,1.0458666524801118e-05
1555929900.0,7.957450821951703e-06
1555930800.0,9.59154246145277e-06
1555931700.0,8.088633179130829e-06
1555932600.0,1.0849876853318527e-05
1555933500.0,7.780801491934331e-06
1555934400.0,5.275299185476786e-05
1555935300.0,2.208528843164961e-05
1555936200.0,1.767155490035402e-05
1555937100.0,3.011984857975412e-05
1555938000.0,1.5471057818772632e-05
1555938900.0,1.295743909509108e-05
1555939800.0,2.500346888177916e-05
1555940700.0,1.3773962621261758e-05
1555941600.0,2.3092473266362743e-05
1555943400.0,4.377341313825751e-05
1555944300.0,2.788594203977262e-05
1555945200.0,1.9749177575151076e-05
1555946100.0,6.718192501491936e-06
1555947000.0,2.0764106149363997e-05
1555947900.0,2.086125654985706e-05
1555948800.0,1.9624810194931686e-05
1555949700.0,1.9190209103983217e-05
1555950600.0,3.925145767040146e-05
1555951500.0,1.1285156857980633e-05
1555952400.0,1.315723376528857e-05
1555953300.0,9.550350380962535e-06
1555955100.0,3.702749533091247e-06
1555956000.0,6.4768024101167114e-06
1555956900.0,7.495980176723985e-06
1555957800.0,6.259390785239016e-06
1555958700.0,4.096214771633546e-05
1555959600.0,4.5041676480317446e-05
1555960500.0,2.3374904021655173e-05
1555961400.0,3.8926906798616556e-05
1555962300.0,3.515358047969427e-05
